Tahun,Bulan,Nilai
2021,Januari,309.46
2021,Februari,287.31
2021,Maret,378.52
2021,April,302.77
2021,Mei,331.73
2021,Juni,387.22
2021,Juli,319.39
2021,Agustus,0
2021,September,0
2021,Oktober,0
2021,November,0
2021,Desember,0
2020,Januari,206.31
2020,Februari,250.44
2020,Maret,222.85
2020,April,246.78
2020,Mei,174.21
2020,Juni,221.06
2020,Juli,276.85
2020,Agustus,207.37
2020,September,283.86
2020,Oktober,298.05
2020,November,361.02
2020,Desember,395.51
2019,Januari,265.42
2019,Februari,245.99
2019,Maret,220.06
2019,April,397.38
2019,Mei,252.29
2019,Juni,207.01
2019,Juli,218.67
2019,Agustus,251.93
2019,September,273.12
2019,Oktober,249.02
2019,November,267.91
2019,Desember,282.71
2018,Januari,309.14
2018,Februari,275.59
2018,Maret,306.25
2018,April,253.23
2018,Mei,245.63
2018,Juni,256.97
2018,Juli,359.67
2018,Agustus,291.67
2018,September,329.45
2018,Oktober,319.53
2018,November,236.75
2018,Desember,256.23
2017,Januari,360.07
2017,Februari,353.13
2017,Maret,334.05
2017,April,301.47
2017,Mei,300.85
2017,Juni,265.42
2017,Juli,305.84
2017,Agustus,375.42
2017,September,300
2017,Oktober,392.86
2017,November,298.08
2017,Desember,285.29
2016,Januari,273.54
2016,Februari,249.92
2016,Maret,218.47
2016,April,195.69
2016,Mei,185.58
2016,Juni,222.77
2016,Juli,179.49
2016,Agustus,270.64
2016,September,261.99
2016,Oktober,372.29
2016,November,375.32
2016,Desember,386.04
2015,Januari,275.56
2015,Februari,297.01
2015,Maret,348.03
2015,April,291.35
2015,Mei,318.80
2015,Juni,302.39
2015,Juli,333.55
2015,Agustus,402.05
2015,September,364.11
2015,Oktober,351.48
2015,November,296.61
2015,Desember,290.46
